Hinglish,English
"Well to be honest, Batman Superman ko hara deta hai aur jaise hi wo Superman ko maarne wala rahta hai, Superman bolta hai ""save martha"" to Lane andar aati hai aur explain karti hai k Martha uski maa hai. Batman Martha ko rescue karta hai aur Superman scout ship pe Luthor ko confront karta hai. Is point pe Wonder Woman ab tak debut nahi ki hai","Well to be honest, Batman has Superman beat and just before he can kill Superman, Superman utters ""save martha"" to which Lane enterenters and explains Martha is his mother. Batman rescues Martha while Superman confronts Luther on the scout ship. At this point, Wonder Woman hasn't debuted yet "
Dang! Crazy Batman superman ko hara deta hai. Kya wo bas ek millionaire nahi juske pas bhut fancy gadget hai. Superman k paas at least real super powers hai. Koi bhi sochega k wo superman jeetega. Kya Batman k paas kryptonite ya kuch tha?,"Dang! Crazy that Batman has Superman beat! Isn't Batman just a millionaire with a lot of fancy gadgets? Superman at least has real super powers. You would think that would give him a one-up. Did Batman have kryptonite
 or something?"
"main aapase bahut sahamat hoon! yah hairaan karane vaala hai, lekin baitamain ke paas ek bhaala hai, jisase vah suparamain ko maarane kee yojana banaata hai, isase pahale ki vah ""sev maartha"" lain ka upayog karata hai, baitamain ko maarane se rok deta hai.","I do very much agree with you! It is puzzling but Batman has a spear he plans to kill superman with just before he utters the ""Save Martha"" line, halting Batman from killing him."
kya usake baad sena mein shaamil hote hain?,Do the join forces after that?
वे*,they*
"ve shukr manaate hain - baitamain vaastav mein maartha ko bachaata hai, jabaki suparamain ka saamana loothar ke saath skaut jahaaj tak jaata hai.",They do thankfully - Batman actually saves Martha while Superman travels to the scout ship to Confront Luther.
kya vah ko Luther maarata hai?,Does he kill Luther? 
"Luther bhee vahee tha jisane maartha ka apaharan kiya tha. vah loothar ko nahin maarata hai, lekin loothar ko giraphtaar kar liya jaata hai, jisamen baitamain ne jel mein rahane ke dauraan usaka saamana kiya, chetaavanee dee ki vah hamesha dekhata rahega","Luther was also the one who kidnapped Martha. He doesn't kill Luther but Luther is arrested to which Batman confronts him while he's in prison, warning that he'll always be watching."
to mool roop se phrainchaizee mein ek aur philm ke lie ek opaning chhod raha hoon?,So basically leaving an opening for another movie in the franchise?
mainne is philm mein suparamain aur baitamain ke aautaphit par bahas sunee hai. kuchh ka kahana hai ki ve kamaal ke hain aur kuchh kahate hain ki ve haasyaaspad hain aur bahut alag roop mein unake b ailovaid mool hain. is par aapake vichaar kya hain?,"I've heard debates on Superman's and Batman's outfits in this movie. Some say that they are awesome and some say that they are ridiculous and too different form their b
eloved originals. What are your thoughts on this?"
"ve karate hain ... aphasos kee baat hai ki, suparamain kee mrtyu ho jaatee hai, haalaanki, broos ven ne metaahumans kee ek teem banaane ka iraada kiya, metahumans ke saath shuroo karate hue unhonne lyoopor kee phailon mein sooparamain kee anupasthiti mein duniya kee raksha karane ke lie paaya","They do... Sadly, Superman dies, however, Bruce Wayne intends to form a team of Metahumans, starting with the Metahumans he found in Luthor's files to protect the world in Sueprmans absence. "
"jabaki yah aisa lagata tha jaise ek bade aadamee ka do minat mein ek saath do gudiyon ko pakadana, mujhe abhee bhee main oph steel se behatar laga.","While it did seem like 153 minutes of a grown man whacking two dolls together, I still found it better than Man of Steel."
"rukoo, superman maar gaya ? keise??","Wait, Superman dies? How??"
bahut Imandaari se film ke aakhir mei  dirt superman kocoffin mei rakh deta hai ! socho ki ham aakhari line mei hai! hamare saath batman or superman ke bare mei baat karne ko maja le. mei aapko ek din isko dekhane ki salah deta hu.  yadi aap sahmat hai to filma ka score B hai mere khayal de aap pasand karoge  aap apna khayal rakhe or aapka din achcha ho!,"Well to be honest, at the end of the film, the dirt atop Sueprman's coffin does begin to levitate! I think we're at the finish line! I enjoyed chatting with you about Batman vs Superman! I highly recommend you seeing it one day. If you agree with CinemaScore, they rated it a B so I think you'll enjoy it and encourage you to watch it! Take care and have a great day!"
hi,hi
Hello!,Hello!
aap kaise ho,how are u ?
"ache hoon, aap?","good, you?"
mein bhi,im ok 
kya aap is movie ko dekha?,have you seen this movie?
tho aap dekha?,so have u watched ..
nahi,nope
lekin muje angelina jolie pasand hein,but i do like angelina jolie
mein nahi dekha lekin muje sleeping beauty ka story bahut pasand hein,"i havent either, but i love the story of sleeping beauty"
muje bhi,me too
rotten tomatoes ne 51 de,iy has 51 in rotten tomatoes
hmm,so hmm
utni badiya nhi,not that good
10 mein se 5.7. Vahiyaat,5.7 out of 10. yikes
Mujhe pta hai,i know
Toh yeh movie zyadaya villan ke baare mein hai,so this movie is more about the villan
yeh ek dark fantasy film hai,is a dark fantasy film
han,yes
waah,wow
to wo asal mein mein ek fairy thi,so she was originally a fairy
han,yes
mujhe vishwaas nhi hota ki iss movie ko aaye itna lamba samay ho gya,i cant believe its been so long since this movie came out
it says ki wo ek human ke pyar me pad gai,she fells in love with a human it says
I know,i know
right,right
and then uske wings kaat diye gaye,and then her wings are cut off
I think maine is movie ke baare me sirf ek baar suna hai,i think i only heard about this movie once
oh wow,oh wow
ah man phillips ka kiss kaam nahi karta,ah man phillips kiss doesnt work
aur uska lover use betray karta hai,and her lover betrayed her
stefan aurora ka father hai,stefan is auroras father
aur maleficent use pyar karti hai,and maleficent loves him
haan,yea
muje bura laga uske liye,i feel bad for her now
oh shaana,oh boy
voh tho stefan ko mouth ke muh me daal diya,she sends stefan to his death
haan muje bhi bura laga,yeah i feel bad too
mein samaj sakthe hoon ki yeh different hein lekin muje old fashioned sleeping beauty ko hi pasand hein,"i know its different, but i like the old fashioned sleeping beauty too much"
muje tho uska aisa change hona bilkul pasand nahi hein,i dont like how they changed it around
haan,yea
isse changed ke liye 5.1 rating deya hein,"
they changed it for it to only get a 5.1 rating"
is film tho stereotype ko break kar liya,this film wanted to break the stereotype
lekin yeh tho kuch jyada hein yar,but it was too much
right,righy
right,right
voh fix kar sakthe the lekin voh broken hi nahi tha,they fixed it when it wasnt broken
yea,yea
yeh kuch jyada hi hey,it was too much
aur mein iska director ke baare mein bhi kuch suna nahi haei,and i havent heard about that director
muje lagtha ki yeh uska first movie hei,i wonder if this is the first movie he made
haan kuch familiar sounds karta,he actually sounds familiar
probably kuch samay lagega is tarah ka movies ko direct karna,it probably takes a lot to direct a movie like this
i think tum sahi ho,i think u are right
par uska metacritic score 56/100 tha.,but its metacritic score was 56/100. ow
bahut kam,really low
"jahaan se meine suna hai, angelina jolie ne bahut achcha perform kiya hain usme.",from what i hear angelina jolie performed really well in it
well mujhe pyaar karta hoon usse,well i love her
main ek ladki hoon,im a girl
aise hi nahin,not like that
lol,lol
haha,haha
wo ek achchi actress hai,she is a good actress
mujhe lagta hai wo great person aur actress hai,i think she is a great person and actres
ek scene hai jisme aurora choti ladki hai aur wo maleficent ke paas jati hai,there is a scene where aurora is a little girl and she goes up to maleficent
aur unhe Angelina ki daughter use karni padi.,and they had to use Angelinas daughter
oh sach mein???,oh really ???
kyunki uski daughter akeli thi jo scare hokar bhaagti nahi,because her daughter was the only one who wouldnt get scared and run away lol
han mujhe ye acha laga,so i like that
han,yea
par critical responses,but the critical responses
"ye interesting hai ki, frozen ki tarah, true love scenario    ke liye prince ki zarurat nahi thi","it is interesting that, like frozen, a prince was not needed for the true love scenario"
ye ek mother daughter love ki tarah tha,it was like a mother daughter love
or mujhe wo pasand hai,and i love that
Jo mujhe sach mein pasand hai,which i really like
mujhe ye bahut bura lag rha hai ki tumhe har samay ek prince chahiye,i hate that u need a prince all the time
"""sab kuch achha"" banane ke liye","to make "" everything  better """
Main bhi,me too
yeh bahut hi entertaining movie leg rhi hai,it seems like a very entertaining movie
aur mujhe isse dekhna hi hoga,and i will have to watch it
Maine isse iss weekend pe mauka de skta huin,i might give it a chance this weekend 
Main bhi,me too
lekin main nhi mera 2 year old sidha khada reh sakta hai,but i dont my 2 year old would stand still
philm joz par aapakee kya raay hai?,What is your opinion on the movie Jaws? 
"sach kahoon, to mujhe shaark philmen bhayaanak lagatee hain.","To be honest, I find shark movies to be terrifying."
main yah nahin kah sakata ki main tumhen dosh deta hoon. philm nishchit roop se us dar ko badatar bana detee hai!,I can't say I blame you. The movie definitely makes that fear worse! 
Kya tumhe pata hai ki ye film ek book par based hai.,Did you know that this film was based on a book?
"Nahi , maine nahi. Lekin mein surprise nahi hun zyadatar movies mein aisa hi hota hai.","No, I didn't. Not surprised though. Most movies tend to be. "
Lekin Jaws ka music mujhe pasand hai.,I do love the Jaws music though. 
"Agreed, ye tension ko badhata hai aur isko aur daravana banata hai, lekin shayad uska wahi point hai.","Agreed, it heightens the tension and makes it scarier, but that's kind of the point."
Kya aap surprised hain ki is film ki critic score rating itni high hai ? Aur agar mein iska music driving karte samay sunoon to mujhe lagega ki koi mujhe maarne aa raha hai. Haha,"Are you surprised at how high the rating is for the film's critic score? And if I heard the music while driving, I would think someone was coming to take me out. Haha"
"97% bahut zyada high hai , mujhe laga ki kam se kam kuch log to low scores denge.","97% is incredibly high, I would have thought that there would be at least some people throwing low scores in there somewhere."
"Kya aap sehmat hai ki ye ""cheerfully perverse"" daravani movie hai ?","Do you agree that it's a ""cheerfully perverse"" scare movie?"
"Mujhe bhi aisa hi lagta hai. Shayad isliye kyunki us zamane mein aisa pehle nahi hua tha aur jo nikal ke aaya wo kafi alag tha ? Usko """"give it a pass"" dena easier hoga aur mein kahunga ki ye ""cheerfully perverse"" depending on aap kaisi movies pasand karte hain.","That's what I thought as well. Maybe it's because it was never done before in it's time and was so different when it came out? It might be easier to ""give it a pass"" 

And I would say it could be ""cheerfully perverse"" depending on the kind of movies you enjoy. "
"Kya aapko lagta hai ki it ""is too gruesome for children""?","Do you think that it ""is too gruesome for children""? "
"Chhote bacchon ke liye haan, unko nightmares aa sakte hain.","For small children, yes. I could see them having nightmares."
"main definitely isase agree karta hoon. Mujhe yah ajeeb lagata hai ki ise ek ""Thriller"" film maana jaata hai.","I definitely agree with that. I do find it odd that it is considered a ""Thriller"" film. "
mujhe lagata hai ki yah interesting hai ki key scenes mein yah  shark attacks ke ek beach town pareconomic impact ka baare main batata hai. Aapako aashchary hota hai ki kya ve real life mein adhik paisa banaane ke lie aisa kuchh cover karenge.,I think it's interesting that in the key scenes it describes the economic impact on a beach town of the shark attacks. Makes you wonder if they'd cover something like that up to make more money in real life.
"aaj ke society mein, mujhe lagata hai ki aisa hee hoga. yahaan tak ​​ki agar ek bounty hunter ko kaam par rakha gaya tha, to ve shaayad bolengain, ""yahaan dekhane ke lie kuchh bhee nahin hai, maze karo!""","In today's society, I think that would absolutely be the case. Even if there was a bounty hunter hired, they would probably go, ""Nothing to see here, have fun!"" "
"mujhe yah interesting lagata hai ki unhonne ise fictional  ""New England resort town"" mein rakha tha. Aapako lagata hai ki ve Californiamein kaheen aur le gae hote kyonki vahaan bahut saare beaches hain aur yah kitana vishaal hai.","I find it interesting that they put it in a fictional ""New England resort town"". You would think they would've picked somewhere in California since there's so many beaches and how huge it is. "
"Main ye maanta hoon ki , aamataur par  New England mein bahut saare shark attacks nahin hote hain, aamataur par south mein ya west coast par.","Agreed, there typically aren't many shark attacks in New England, usually further south or on the west coast."
